drug,disease
drug::DB00397,disease::6004
drug::DB01146,disease::6004
drug::DB11315,disease::6004
drug::DB01114,disease::6004
drug::DB00405,disease::6004
drug::DB06282,disease::6004
drug::DB00434,disease::6004
drug::DB01410,disease::6004
drug::DB00514,disease::6004
drug::DB00956,disease::6004
drug::DB01551,disease::6004
drug::DB00620,disease::6004
drug::DB13036,disease::6004
drug::DB00768,disease::6004
drug::DB12523,disease::6004
drug::DB13064,disease::6004
drug::DB13713,disease::6004
drug::DB01411,disease::6004
drug::DB00316,disease::6004
drug::DB00967,disease::6004
drug::DB00787,disease::4609
drug::DB08870,disease::4632
drug::DB08870,disease::4952
drug::DB08870,disease::9348
drug::DB08870,disease::4626
drug::DB08870,disease::20329
drug::DB00570,disease::4632
drug::DB00570,disease::4952
drug::DB00570,disease::9348
drug::DB00570,disease::4626
drug::DB00570,disease::20329
drug::DB00959,disease::4632
drug::DB00959,disease::4952
drug::DB00959,disease::9348
drug::DB00959,disease::4626
drug::DB00959,disease::20329
drug::DB01168,disease::4632
drug::DB01168,disease::4952
drug::DB01168,disease::9348
drug::DB01168,disease::4626
drug::DB01168,disease::20329
drug::DB00541,disease::4632
drug::DB00541,disease::4952
drug::DB00541,disease::9348
drug::DB00541,disease::4626
drug::DB00541,disease::20329
drug::DB00635,disease::4632
drug::DB00635,disease::4952
drug::DB00635,disease::9348
drug::DB00635,disease::4626
drug::DB00635,disease::20329
drug::DB04572,disease::4632
drug::DB04572,disease::4952
drug::DB04572,disease::9348
drug::DB04572,disease::4626
drug::DB04572,disease::20329
drug::DB00888,disease::4632
drug::DB00888,disease::4952
drug::DB00888,disease::9348
drug::DB00888,disease::4626
drug::DB00888,disease::20329
drug::DB00860,disease::4632
drug::DB00860,disease::4952
drug::DB00860,disease::9348
drug::DB00860,disease::4626
drug::DB00860,disease::20329
drug::DB00741,disease::4632
drug::DB00741,disease::4952
drug::DB00741,disease::9348
drug::DB00741,disease::4626
drug::DB00741,disease::20329
drug::DB01380,disease::4632
drug::DB01380,disease::4952
drug::DB01380,disease::9348
drug::DB01380,disease::4626
drug::DB01380,disease::20329
drug::DB14539,disease::4632
drug::DB14539,disease::4952
drug::DB14539,disease::9348
drug::DB14539,disease::4626
drug::DB14539,disease::20329
drug::DB01234,disease::4632
drug::DB01234,disease::4952
drug::DB01234,disease::9348
drug::DB01234,disease::4626
drug::DB01234,disease::20329
drug::DB00851,disease::4632
drug::DB00851,disease::4952
drug::DB00851,disease::9348
drug::DB00851,disease::4626
drug::DB00851,disease::20329
drug::DB00443,disease::4632
drug::DB00443,disease::4952
drug::DB00443,disease::9348
drug::DB00443,disease::4626
drug::DB00443,disease::20329
drug::DB00291,disease::4632
drug::DB00291,disease::4952
drug::DB00291,disease::9348
drug::DB00291,disease::4626
drug::DB00291,disease::20329
drug::DB00997,disease::4632
drug::DB00997,disease::4952
drug::DB00997,disease::9348
drug::DB00997,disease::4626
drug::DB00997,disease::20329
drug::DB00262,disease::4632
drug::DB00262,disease::4952
drug::DB00262,disease::9348
drug::DB00262,disease::4626
drug::DB00262,disease::20329
drug::DB01206,disease::4632
drug::DB01206,disease::4952
drug::DB01206,disease::9348
drug::DB01206,disease::4626
drug::DB01206,disease::20329
drug::DB00620,disease::4632
drug::DB00620,disease::4952
drug::DB00620,disease::9348
drug::DB00620,disease::4626
drug::DB00620,disease::20329
drug::DB00290,disease::4632
drug::DB00290,disease::4952
drug::DB00290,disease::9348
drug::DB00290,disease::4626
drug::DB00290,disease::20329
drug::DB04897,disease::9971
drug::DB04897,disease::6502
drug::DB09114,disease::9971
drug::DB09114,disease::6502
drug::DB09494,disease::9971
drug::DB09494,disease::6502
drug::DB06439,disease::9971
drug::DB06439,disease::6502
drug::DB06415,disease::9971
drug::DB06415,disease::6502
drug::DB09113,disease::9971
drug::DB09113,disease::6502
drug::DB06761,disease::9971
drug::DB06761,disease::6502
drug::DB00959,disease::19338
drug::DB00635,disease::19338
drug::DB00860,disease::19338
drug::DB00741,disease::19338
drug::DB01380,disease::19338
drug::DB14539,disease::19338
drug::DB01234,disease::19338
drug::DB00443,disease::19338
drug::DB00620,disease::19338
drug::DB01234,disease::4855
drug::DB01234,disease::2400
drug::DB00570,disease::15760_18908_15759
drug::DB00570,disease::5062
drug::DB00570,disease::18876_6430
drug::DB00570,disease::15531_17025_18310_17036_17029
drug::DB00570,disease::11508
drug::DB00959,disease::15760_18908_15759
drug::DB00959,disease::5062
drug::DB00959,disease::18876_6430
drug::DB00959,disease::15531_17025_18310_17036_17029
drug::DB00959,disease::11508
drug::DB00791,disease::15760_18908_15759
drug::DB00791,disease::5062
drug::DB00791,disease::18876_6430
drug::DB00791,disease::15531_17025_18310_17036_17029
drug::DB00791,disease::11508
drug::DB00563,disease::15760_18908_15759
drug::DB00563,disease::5062
drug::DB00563,disease::18876_6430
drug::DB00563,disease::15531_17025_18310_17036_17029
drug::DB00563,disease::11508
drug::DB00541,disease::15760_18908_15759
drug::DB00541,disease::5062
drug::DB00541,disease::18876_6430
drug::DB00541,disease::15531_17025_18310_17036_17029
drug::DB00541,disease::11508
drug::DB00635,disease::15760_18908_15759
drug::DB00635,disease::5062
drug::DB00635,disease::18876_6430
drug::DB00635,disease::15531_17025_18310_17036_17029
drug::DB00635,disease::11508
drug::DB04572,disease::15760_18908_15759
drug::DB04572,disease::5062
drug::DB04572,disease::18876_6430
drug::DB04572,disease::15531_17025_18310_17036_17029
drug::DB04572,disease::11508
drug::DB00888,disease::15760_18908_15759
drug::DB00888,disease::5062
drug::DB00888,disease::18876_6430
drug::DB00888,disease::15531_17025_18310_17036_17029
drug::DB00888,disease::11508
drug::DB00860,disease::15760_18908_15759
drug::DB00860,disease::5062
drug::DB00860,disease::18876_6430
drug::DB00860,disease::15531_17025_18310_17036_17029
drug::DB00860,disease::11508
drug::DB00741,disease::15760_18908_15759
drug::DB00741,disease::5062
drug::DB00741,disease::18876_6430
drug::DB00741,disease::15531_17025_18310_17036_17029
drug::DB00741,disease::11508
drug::DB01380,disease::15760_18908_15759
drug::DB01380,disease::5062
drug::DB01380,disease::18876_6430
drug::DB01380,disease::15531_17025_18310_17036_17029
drug::DB01380,disease::11508
drug::DB14539,disease::15760_18908_15759
drug::DB14539,disease::5062
drug::DB14539,disease::18876_6430
drug::DB14539,disease::15531_17025_18310_17036_17029
drug::DB14539,disease::11508
drug::DB01234,disease::15760_18908_15759
drug::DB01234,disease::5062
drug::DB01234,disease::18876_6430
drug::DB01234,disease::15531_17025_18310_17036_17029
drug::DB01234,disease::11508
drug::DB00443,disease::15760_18908_15759
drug::DB00443,disease::5062
drug::DB00443,disease::18876_6430
drug::DB00443,disease::15531_17025_18310_17036_17029
drug::DB00443,disease::11508
drug::DB00997,disease::15760_18908_15759
drug::DB00997,disease::5062
drug::DB00997,disease::18876_6430
drug::DB00997,disease::15531_17025_18310_17036_17029
drug::DB00997,disease::11508
drug::DB00073,disease::15760_18908_15759
drug::DB00073,disease::5062
drug::DB00073,disease::18876_6430
drug::DB00073,disease::15531_17025_18310_17036_17029
drug::DB00073,disease::11508
drug::DB00262,disease::15760_18908_15759
drug::DB00262,disease::5062
drug::DB00262,disease::18876_6430
drug::DB00262,disease::15531_17025_18310_17036_17029
drug::DB00262,disease::11508
drug::DB00620,disease::15760_18908_15759
drug::DB00620,disease::5062
drug::DB00620,disease::18876_6430
drug::DB00620,disease::15531_17025_18310_17036_17029
drug::DB00620,disease::11508
drug::DB00290,disease::15760_18908_15759
drug::DB00290,disease::5062
drug::DB00290,disease::18876_6430
drug::DB00290,disease::15531_17025_18310_17036_17029
drug::DB00290,disease::11508
drug::DB00959,disease::4126
drug::DB00635,disease::4126
drug::DB00860,disease::4126
drug::DB00741,disease::4126
drug::DB01380,disease::4126
drug::DB14539,disease::4126
drug::DB01234,disease::4126
drug::DB00443,disease::4126
drug::DB00620,disease::4126
drug::DB00959,disease::1198
drug::DB00959,disease::18048
drug::DB00635,disease::1198
drug::DB00635,disease::18048
drug::DB00860,disease::1198
drug::DB00860,disease::18048
drug::DB00741,disease::1198
drug::DB00741,disease::18048
drug::DB01380,disease::1198
drug::DB01380,disease::18048
drug::DB14539,disease::1198
drug::DB14539,disease::18048
drug::DB01234,disease::1198
drug::DB01234,disease::18048
drug::DB00443,disease::1198
drug::DB00443,disease::18048
drug::DB00620,disease::1198
drug::DB00620,disease::18048
drug::DB00105,disease::17600
drug::DB00552,disease::17600
drug::DB00242,disease::17600
drug::DB12688,disease::17600
drug::DB00105,disease::5105_5012
drug::DB00309,disease::5105_5012
drug::DB01005,disease::5105_5012
drug::DB13896,disease::5105_5012
drug::DB00105,disease::4949
drug::DB09054,disease::4949
drug::DB00959,disease::4949
drug::DB00541,disease::4949
drug::DB00635,disease::4949
drug::DB00860,disease::4949
drug::DB01380,disease::4949
drug::DB01234,disease::4949
drug::DB00443,disease::4949
drug::DB00291,disease::4949
drug::DB00997,disease::4949
drug::DB00078,disease::4949
drug::DB06769,disease::4949
drug::DB00620,disease::4949
drug::DB11952,disease::4949
drug::DB00290,disease::4949
drug::DB12483,disease::4949
drug::DB00105,disease::5354
drug::DB00105,disease::5231
drug::DB12225,disease::5354
drug::DB12225,disease::5231
drug::DB06290,disease::5354
drug::DB06290,disease::5231
drug::DB11929,disease::5354
drug::DB11929,disease::5231
drug::DB11586,disease::5354
drug::DB11586,disease::5231
drug::DB05521,disease::5354
drug::DB05521,disease::5231
drug::DB08873,disease::5354
drug::DB08873,disease::5231
drug::DB00811,disease::5354
drug::DB00811,disease::5231
drug::DB00022,disease::5354
drug::DB00022,disease::5231
drug::DB00008,disease::5354
drug::DB00008,disease::5231
drug::DB00503,disease::5354
drug::DB00503,disease::5231
drug::DB12026,disease::5354
drug::DB12026,disease::5231
drug::DB11613,disease::5354
drug::DB11613,disease::5231
drug::DB11574,disease::5354
drug::DB11574,disease::5231
drug::DB13879,disease::5354
drug::DB13879,disease::5231
drug::DB13878,disease::5354
drug::DB13878,disease::5231
drug::DB11575,disease::5354
drug::DB11575,disease::5231
drug::DB09296,disease::5354
drug::DB09296,disease::5231
drug::DB09027,disease::5354
drug::DB09027,disease::5231
drug::DB09297,disease::5354
drug::DB09297,disease::5231
drug::DB08934,disease::5354
drug::DB08934,disease::5231
drug::DB09183,disease::5354
drug::DB09183,disease::5231
drug::DB09102,disease::5354
drug::DB09102,disease::5231
drug::DB00105,disease::5366
drug::DB01265,disease::5366
drug::DB00300,disease::5366
drug::DB00008,disease::5366
drug::DB06683,disease::5366
drug::DB14126,disease::5366
drug::DB00718,disease::5366
drug::DB00442,disease::5366
drug::DB00709,disease::5366
drug::DB01216,disease::10811
drug::DB00346,disease::10811
drug::DB00590,disease::10811
drug::DB01162,disease::10811
drug::DB12092,disease::10811
drug::DB00820,disease::10811
drug::DB01126,disease::10811
drug::DB06207,disease::10811
drug::DB00706,disease::10811
drug::DB00537,disease::5619
drug::DB00537,disease::827
drug::DB00537,disease::18626
drug::DB01165,disease::5619
drug::DB01165,disease::827
drug::DB01165,disease::18626
drug::DB01059,disease::5619
drug::DB01059,disease::827
drug::DB01059,disease::18626
drug::DB00446,disease::5619
drug::DB00446,disease::827
drug::DB00446,disease::18626
drug::DB00978,disease::5247
drug::DB13218,disease::5247
drug::DB01165,disease::5247
drug::DB00671,disease::5247
drug::DB00595,disease::5247
drug::DB00355,disease::5247
drug::DB00447,disease::5247
drug::DB09449,disease::5247
drug::DB00467,disease::5247
drug::DB00440,disease::5247
drug::DB01059,disease::5247
drug::DB02703,disease::5247
drug::DB00415,disease::5247
drug::DB09050,disease::5247
drug::DB01332,disease::5247
drug::DB01328,disease::5247
drug::DB00759,disease::5247
drug::DB01172,disease::5247
drug::DB00766,disease::5247
drug::DB00274,disease::5247
drug::DB00551,disease::5247
drug::DB00833,disease::5247
drug::DB00948,disease::5247
drug::DB01602,disease::5247
drug::DB01140,disease::5247
drug::DB00578,disease::5247
drug::DB01333,disease::5247
drug::DB01061,disease::5247
drug::DB01000,disease::5247
drug::DB01607,disease::5247
drug::DB01326,disease::5247
drug::DB00827,disease::5247
drug::DB01060,disease::5247
drug::DB00828,disease::5247
drug::DB01139,disease::5247
drug::DB13092,disease::5247
drug::DB13475,disease::5247
drug::DB00456,disease::5247
drug::DB00685,disease::5247
drug::DB09335,disease::5247
drug::DB00681,disease::5247
drug::DB00263,disease::5247
drug::DB00618,disease::5247
drug::DB14879,disease::5247
drug::DB12377,disease::5247
drug::DB12615,disease::5247
drug::DB13730,disease::5247
drug::DB01017,disease::5247
drug::DB06799,disease::5247
drug::DB00978,disease::3781_5607_18597
drug::DB01150,disease::3781_5607_18597
drug::DB01165,disease::3781_5607_18597
drug::DB00671,disease::3781_5607_18597
drug::DB00595,disease::3781_5607_18597
drug::DB00447,disease::3781_5607_18597
drug::DB01059,disease::3781_5607_18597
drug::DB02703,disease::3781_5607_18597
drug::DB13573,disease::3781_5607_18597
drug::DB00954,disease::3781_5607_18597
drug::DB06151,disease::3781_5607_18597
drug::DB00332,disease::3781_5607_18597
drug::DB00759,disease::3781_5607_18597
drug::DB00816,disease::3781_5607_18597
drug::DB00277,disease::3781_5607_18597
drug::DB00254,disease::3781_5607_18597
drug::DB00151,disease::3781_5607_18597
drug::DB00668,disease::3781_5607_18597
drug::DB00368,disease::3781_5607_18597
drug::DB01291,disease::3781_5607_18597
drug::DB01000,disease::3781_5607_18597
drug::DB00901,disease::3781_5607_18597
drug::DB01364,disease::3781_5607_18597
drug::DB00871,disease::3781_5607_18597
drug::DB13092,disease::3781_5607_18597
drug::DB00681,disease::3781_5607_18597
drug::DB00618,disease::3781_5607_18597
drug::DB01017,disease::3781_5607_18597
drug::DB11560,disease::2144
drug::DB01685,disease::2144
drug::DB01138,disease::2144
drug::DB01032,disease::2144
drug::DB12319,disease::2144
drug::DB00437,disease::2144
drug::DB04854,disease::2144
drug::DB00049,disease::2144
drug::DB00187,disease::4981
drug::DB06217,disease::4981
drug::DB00975,disease::4981
drug::DB00908,disease::4981
drug::DB01195,disease::4981
drug::DB01182,disease::4981
drug::DB00571,disease::4981
drug::DB00661,disease::4981
drug::DB00343,disease::4981
drug::DB00489,disease::4981
drug::DB00390,disease::4981
drug::DB04855,disease::4981
drug::DB00204,disease::4981
drug::DB00511,disease::4981
drug::DB05311,disease::12526_15053_19623_15054
drug::DB05311,disease::33946
drug::DB14597,disease::12526_15053_19623_15054
drug::DB14597,disease::33946
drug::DB06196,disease::12526_15053_19623_15054
drug::DB06196,disease::33946
drug::DB06718,disease::12526_15053_19623_15054
drug::DB06718,disease::33946
drug::DB01197,disease::5016
drug::DB01029,disease::5016
drug::DB00678,disease::5016
drug::DB00610,disease::5468
drug::DB00988,disease::5468
drug::DB00668,disease::5468
drug::DB00368,disease::5468
drug::DB00723,disease::5468
drug::DB00191,disease::5468
drug::DB01365,disease::5468
drug::DB01436,disease::24570_7767_6964_1530_1741_10837_16166_12406_21132
drug::DB01436,disease::5890
drug::DB01421,disease::1711
drug::DB09208,disease::5393
drug::DB01394,disease::5393
drug::DB01685,disease::5393
drug::DB00328,disease::5393
drug::DB12319,disease::5393
drug::DB00788,disease::5393
drug::DB07402,disease::5393
drug::DB13551,disease::5393
drug::DB00571,disease::13412_13200_12112_7268_11843_13474_13475_13477_10946_12799_8647_12804_13455_14883_13852_13197_7267_13195_12111_13369_7266_13476_5045
drug::DB00974,disease::1566
drug::DB00974,disease::1567
drug::DB00974,disease::2319
drug::DB00710,disease::1566
drug::DB00710,disease::1567
drug::DB00710,disease::2319
drug::DB00822,disease::7079_2491_4938_2046_5367_5689_4456_5186
drug::DB00659,disease::7079_2491_4938_2046_5367_5689_4456_5186
drug::DB06230,disease::7079_2491_4938_2046_5367_5689_4456_5186
drug::DB00704,disease::7079_2491_4938_2046_5367_5689_4456_5186
drug::DB00339,disease::6042
drug::DB02701,disease::11438
drug::DB09096,disease::11438
drug::DB12808,disease::11438
drug::DB00250,disease::11438
drug::DB11118,disease::11438
drug::DB02703,disease::11438
drug::DB00936,disease::11438
drug::DB00717,disease::11438
drug::DB01395,disease::11438
drug::DB00759,disease::11438
drug::DB00977,disease::11438
drug::DB00254,disease::11438
drug::DB13368,disease::11438
drug::DB00655,disease::11438
drug::DB00783,disease::11438
drug::DB00741,disease::11438
drug::DB01380,disease::11438
drug::DB00957,disease::11438
drug::DB11256,disease::11438
drug::DB00755,disease::11438
drug::DB12924,disease::11438
drug::DB13092,disease::11438
drug::DB01190,disease::11438
drug::DB00634,disease::11438
drug::DB14491,disease::11438
drug::DB00681,disease::11438
drug::DB12447,disease::11438
drug::DB00548,disease::11438
drug::DB00799,disease::11438
drug::DB00199,disease::11438
drug::DB11085,disease::11438
drug::DB00210,disease::11438
drug::DB12035,disease::11438
drug::DB01017,disease::11438
drug::DB02701,disease::19975
drug::DB02701,disease::6676_24182_24183
drug::DB13178,disease::19975
drug::DB13178,disease::6676_24182_24183
drug::DB08949,disease::19975
drug::DB08949,disease::6676_24182_24183
drug::DB00184,disease::19975
drug::DB00184,disease::6676_24182_24183
drug::DB04145,disease::19975
drug::DB04145,disease::6676_24182_24183
drug::DB00661,disease::5542
drug::DB00264,disease::5542
drug::DB08816,disease::5542
drug::DB00063,disease::5542
drug::DB06209,disease::5542
drug::DB00775,disease::5542
drug::DB00758,disease::5542
drug::DB09241,disease::6988
drug::DB00279,disease::5397
drug::DB00279,disease::3240
drug::DB00451,disease::5397
drug::DB00451,disease::3240
drug::DB00451,disease::7699
drug::DB13178,disease::5347
drug::DB08887,disease::5347
drug::DB00175,disease::5347
drug::DB00641,disease::5347
drug::DB00227,disease::5347
drug::DB00627,disease::5347
drug::DB09064,disease::5347
drug::DB01039,disease::5347
drug::DB13873,disease::5347
drug::DB11133,disease::5347
drug::DB01098,disease::5347
drug::DB01241,disease::5347
drug::DB01076,disease::5347
drug::DB01022,disease::1566
drug::DB01022,disease::1567
drug::DB01022,disease::2319
drug::DB13231,disease::1566
drug::DB13231,disease::1567
drug::DB13231,disease::2319
drug::DB00169,disease::1566
drug::DB00169,disease::1567
drug::DB00169,disease::2319
drug::DB01070,disease::1566
drug::DB01070,disease::1567
drug::DB01070,disease::2319
drug::DB00258,disease::1566
drug::DB00258,disease::1567
drug::DB00258,disease::2319
drug::DB00153,disease::1566
drug::DB00153,disease::1567
drug::DB00153,disease::2319
drug::DB06724,disease::1566
drug::DB06724,disease::1567
drug::DB06724,disease::2319
drug::DB11110,disease::1566
drug::DB11110,disease::1567
drug::DB11110,disease::2319
drug::DB00136,disease::1566
drug::DB00136,disease::1567
drug::DB00136,disease::2319
drug::DB11126,disease::1566
drug::DB11126,disease::1567
drug::DB11126,disease::2319
drug::DB00326,disease::1566
drug::DB00326,disease::1567
drug::DB00326,disease::2319
drug::DB11264,disease::1566
drug::DB11264,disease::1567
drug::DB11264,disease::2319
drug::DB00146,disease::1566
drug::DB00146,disease::1567
drug::DB00146,disease::2319
drug::DB01377,disease::1566
drug::DB01377,disease::1567
drug::DB01377,disease::2319
drug::DB13365,disease::1566
drug::DB13365,disease::1567
drug::DB13365,disease::2319
drug::DB01164,disease::1566
drug::DB01164,disease::1567
drug::DB01164,disease::2319
drug::DB00894,disease::4379
drug::DB00570,disease::4379
drug::DB00563,disease::4379
drug::DB08905,disease::4379
drug::DB04572,disease::4379
drug::DB00997,disease::4379
drug::DB00675,disease::4379
drug::DB00201,disease::5277
drug::DB00201,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00320,disease::5277
drug::DB00320,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00945,disease::5277
drug::DB00945,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB01174,disease::5277
drug::DB01174,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB11732,disease::5277
drug::DB11732,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB13463,disease::5277
drug::DB13463,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00788,disease::5277
drug::DB00788,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00589,disease::5277
drug::DB00589,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB14041,disease::5277
drug::DB14041,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB14040,disease::5277
drug::DB14040,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00533,disease::5277
drug::DB00533,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00998,disease::5277
drug::DB00998,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB14039,disease::5277
drug::DB14039,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB14042,disease::5277
drug::DB14042,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00918,disease::5277
drug::DB00918,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00953,disease::5277
drug::DB00953,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00216,disease::5277
drug::DB00216,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00315,disease::5277
drug::DB00315,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB15328,disease::5277
drug::DB15328,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB12457,disease::5277
drug::DB12457,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00952,disease::5277
drug::DB00952,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00696,disease::5277
drug::DB00696,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00669,disease::5277
drug::DB00669,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB00316,disease::5277
drug::DB00316,disease::11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331
drug::DB13956,disease::5387_19852_19851
drug::DB00717,disease::5387_19852_19851
drug::DB00783,disease::5387_19852_19851
drug::DB13954,disease::5387_19852_19851
drug::DB04575,disease::5387_19852_19851
drug::DB11634,disease::21187_11237_11470
drug::DB11634,disease::1336
drug::DB00227,disease::21187_11237_11470
drug::DB00227,disease::1336
drug::DB00636,disease::21187_11237_11470
drug::DB00636,disease::1336
drug::DB00627,disease::21187_11237_11470
drug::DB00627,disease::1336
drug::DB08841,disease::21187_11237_11470
drug::DB08841,disease::1336
drug::DB00509,disease::21187_11237_11470
drug::DB00509,disease::1336
drug::DB00451,disease::21187_11237_11470
drug::DB00451,disease::1336
drug::DB01039,disease::21187_11237_11470
drug::DB01039,disease::1336
drug::DB13873,disease::21187_11237_11470
drug::DB13873,disease::1336
drug::DB01393,disease::21187_11237_11470
drug::DB01393,disease::1336
drug::DB01599,disease::21187_11237_11470
drug::DB01599,disease::1336
drug::DB00973,disease::21187_11237_11470
drug::DB00973,disease::1336
drug::DB01432,disease::21187_11237_11470
drug::DB01432,disease::1336
drug::DB04145,disease::21187_11237_11470
drug::DB04145,disease::1336
drug::DB01083,disease::19182
drug::DB00937,disease::19182
drug::DB01579,disease::19182
drug::DB04871,disease::19182
drug::DB01577,disease::19182
drug::DB01556,disease::19182
drug::DB00574,disease::19182
drug::DB01156,disease::19182
drug::DB01191,disease::19182
drug::DB00182,disease::19182
drug::DB06586,disease::19182
drug::DB00579,disease::19182
drug::DB13852,disease::19182
drug::DB06155,disease::19182
drug::DB00704,disease::19182
drug::DB01550,disease::19182
drug::DB00865,disease::19182
drug::DB00830,disease::19182
drug::DB00191,disease::19182
drug::DB01105,disease::19182
drug::DB00441,disease::8170
drug::DB00441,disease::2752
drug::DB00441,disease::3582
drug::DB00441,disease::3792
drug::DB00441,disease::3795
drug::DB00441,disease::5601
drug::DB00441,disease::5744
drug::DB00441,disease::6045
drug::DB00441,disease::6335
drug::DB00441,disease::16093
drug::DB00441,disease::16096
drug::DB00441,disease::16248
drug::DB00441,disease::17327
drug::DB00441,disease::18171
drug::DB00441,disease::18172
drug::DB00441,disease::20541
drug::DB00441,disease::20542
drug::DB00441,disease::20543
drug::DB09074,disease::8170
drug::DB09074,disease::2752
drug::DB09074,disease::3582
drug::DB09074,disease::3792
drug::DB09074,disease::3795
drug::DB09074,disease::5601
drug::DB09074,disease::5744
drug::DB09074,disease::6045
drug::DB09074,disease::6335
drug::DB09074,disease::16093
drug::DB09074,disease::16096
drug::DB09074,disease::16248
drug::DB09074,disease::17327
drug::DB09074,disease::18171
drug::DB09074,disease::18172
drug::DB09074,disease::20541
drug::DB09074,disease::20542
drug::DB09074,disease::20543
drug::DB00488,disease::8170
drug::DB00488,disease::2752
drug::DB00488,disease::3582
drug::DB00488,disease::3792
drug::DB00488,disease::3795
drug::DB00488,disease::5601
drug::DB00488,disease::5744
drug::DB00488,disease::6045
drug::DB00488,disease::6335
drug::DB00488,disease::16093
drug::DB00488,disease::16096
drug::DB00488,disease::16248
drug::DB00488,disease::17327
drug::DB00488,disease::18171
drug::DB00488,disease::18172
drug::DB00488,disease::20541
drug::DB00488,disease::20542
drug::DB00488,disease::20543
drug::DB04572,disease::8170
drug::DB04572,disease::2752
drug::DB04572,disease::3582
drug::DB04572,disease::3792
drug::DB04572,disease::3795
drug::DB04572,disease::5601
drug::DB04572,disease::5744
drug::DB04572,disease::6045
drug::DB04572,disease::6335
drug::DB04572,disease::16093
drug::DB04572,disease::16096
drug::DB04572,disease::16248
drug::DB04572,disease::17327
drug::DB04572,disease::18171
drug::DB04572,disease::18172
drug::DB04572,disease::20541
drug::DB04572,disease::20542
drug::DB04572,disease::20543
drug::DB14031,disease::8170
drug::DB14031,disease::2752
drug::DB14031,disease::3582
drug::DB14031,disease::3792
drug::DB14031,disease::3795
drug::DB14031,disease::5601
drug::DB14031,disease::5744
drug::DB14031,disease::6045
drug::DB14031,disease::6335
drug::DB14031,disease::16093
drug::DB14031,disease::16096
drug::DB14031,disease::16248
drug::DB14031,disease::17327
drug::DB14031,disease::18171
drug::DB14031,disease::18172
drug::DB14031,disease::20541
drug::DB14031,disease::20542
drug::DB14031,disease::20543
drug::DB00958,disease::8170
drug::DB00958,disease::2752
drug::DB00958,disease::3582
drug::DB00958,disease::3792
drug::DB00958,disease::3795
drug::DB00958,disease::5601
drug::DB00958,disease::5744
drug::DB00958,disease::6045
drug::DB00958,disease::6335
drug::DB00958,disease::16093
drug::DB00958,disease::16096
drug::DB00958,disease::16248
drug::DB00958,disease::17327
drug::DB00958,disease::18171
drug::DB00958,disease::18172
drug::DB00958,disease::20541
drug::DB00958,disease::20542
drug::DB00958,disease::20543
drug::DB01229,disease::8170
drug::DB01229,disease::2752
drug::DB01229,disease::3582
drug::DB01229,disease::3792
drug::DB01229,disease::3795
drug::DB01229,disease::5601
drug::DB01229,disease::5744
drug::DB01229,disease::6045
drug::DB01229,disease::6335
drug::DB01229,disease::16093
drug::DB01229,disease::16096
drug::DB01229,disease::16248
drug::DB01229,disease::17327
drug::DB01229,disease::18171
drug::DB01229,disease::18172
drug::DB01229,disease::20541
drug::DB01229,disease::20542
drug::DB01229,disease::20543
drug::DB12332,disease::8170
drug::DB12332,disease::2752
drug::DB12332,disease::3582
drug::DB12332,disease::3792
drug::DB12332,disease::3795
